,fold,loss_type,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_val_data,accuracy_val_corrected,violations_val_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,sbr,100,0,-,-,-,552.5339093208313,"[[-3.9688631455246024, -1.1886658151911613, 3.7052197632779356, -2.774617401346993, 0.3912829904307162, -0.36778382525475145, -0.710084216395375, 18.410751181831554, -10.189832381441304, -8.443597280513266, 16.378413189013582, -8.646622791882999, -8.650160551997446, 3.1474095196099725], [-6.8479139877506405, -1.239752302842484, -2.018466965837856, 2.030186543352339, 0.927644807252298, 2.6369369046822957, -2.8837323384937825, -4.278407067775151, 5.220980404370983, 9.11817135179828, -5.734886541933234, -5.46761664921923, -5.8175217764265215, 6.077825850146787], [-12.250067763829183, 6.984485316102897, 1.3393586361967356, 0.41156575246881455, -1.8616220877168768, -0.06549975867538174, 2.7959480413609383, -7.660019162078228, -11.678017271173182, -10.90942965136799, -7.036127925729183, 20.229280783554366, 8.236207891807195, 2.5336050940673958], [-7.806305572770857, -1.3089580901579618, 0.3346857720162219, -1.14413089659589, -0.2592971856420213, -1.1327582267279552, 1.298727332331697, -7.444044777948879, 8.17081858810343, 7.875219049045752, -8.142249152530287, -8.201393267965207, -8.421293857723288, 14.32107052581308], [-7.711780212084915, 2.411530716724018, -1.5242627275868723, 2.4378245946383257, 0.8389522725671757, -0.3051254501689324, -1.0311360482784018, -5.354568687736158, 6.531851190828543, 3.228783866672661, -5.774482993378538, -6.458457417150846, 3.241344258284396, 2.8697316356203117]]",43,0.7705263157894737,0,8,0.779874213836478,0,10,0.7861635220125787,0,10
0,1,sl,100,0,-,-,-,565.0426332950592,"[[-5.56080040759888, -0.9730608790071248, 3.2184019900497964, -2.3728589916715674, 0.32854527967249997, -0.35927572422641596, -0.5619204818689917, 22.91970187429154, -12.358458411530457, -9.845988905322248, 20.040072514858487, -9.923753620594185, -10.10644391402001, -0.2811566421176078], [-8.231850918844833, -1.2385284608072453, -1.8312245048564333, 1.9961182257204642, 0.9368373807044011, 2.6282008853197105, -2.7598272019493604, -4.231349257419531, 6.488276734531867, 10.368796580911958, -5.881074880805167, -5.431831340732248, -6.058261402662792, 2.5175460752538443], [-14.42659832531662, 7.081984152646984, 1.1510309687454034, 0.4646967012785441, -1.6229469046265474, -0.020345387041223018, 2.4216865534782217, -8.388242784050531, -14.234940765088291, -13.685677637914436, -7.177154077204481, 24.670577016095795, 10.470973568550972, -0.07805320258749848], [-8.418269816353474, -1.3012342342566865, 0.33755609276178644, -1.1422304646329182, -0.25899143735745817, -1.1346144703603802, 1.2968234952772897, -8.574258408818766, 8.77706851570018, 8.481362450433615, -9.610665694093669, -7.897784324322608, -7.827584866970904, 14.24178741985046], [-6.7720805058724896, 0.695182520600348, -0.4276759307175554, 0.5561302912139224, 0.18016256141218867, 0.05145353470953937, -0.3550631397697513, -7.952337807665059, 6.724515682995652, 3.389972589530346, -7.922329164397033, -8.645282824336434, 3.3743988832027743, 10.261051802119624]]",43,0.7578947368421053,0,8,0.7735849056603774,0,10,0.7861635220125787,0,0
0,2,sbr,100,0,-,-,-,463.77372670173645,"[[-6.032170430788948, 0.41689562493247506, 1.4842995961740406, 2.5548762796645113, -0.11910225253490127, -2.1706764774499594, -0.607355900357756, 17.475785787415976, -8.699621917827796, -7.259612627718106, 8.992838777968629, -7.826691456908485, -7.020922629544648, 4.312252021160073], [-6.3652191888939225, -2.5735020764554544, -0.5248416839331027, 2.652124238030829, 1.0400193244057545, 0.8625823404203448, -1.7243197066929954, -4.926433305096394, 5.204354688714959, 9.438947524800374, -5.884158720773747, -5.288922804396067, -5.124236825003927, 6.207940454443593], [-11.122809647803848, 6.6267236562051774, 0.8095300623727656, 3.8928509239216553, -2.430469686480058, 0.2880814786053887, 1.3684917633705147, -7.566606710002654, -10.409749982814, -9.72916938471721, -5.93134364296315, 17.705832445908086, 8.747043858118955, 2.0655609819237437], [-5.057239172150348, -1.0091012030631796, -0.28500231754155697, -1.4591046401379342, -0.9238811822826023, 0.1390060125588155, 1.314255716764827, -7.150687933694746, 5.308876958038855, 4.440612979375148, 2.068941036121244, -7.648551514094107, -7.367049591188681, 11.295462045794409], [-7.641779127417607, 3.0109358546786407, -0.7985990775703845, -1.5179873400870096, 2.524001273485538, -0.7158201481680124, -1.9202976942976306, -5.384996352171998, 6.19862208877302, 3.259738259664034, -4.1685609157518915, -6.352081343493808, 1.9410419251505904, 2.8529568274074966]]",42,0.7642105263157895,0,11,0.7735849056603774,0,8,0.8113207547169812,0,10
0,2,sl,100,0,-,-,-,532.6100280284882,"[[-7.80717810336696, 0.3744356888673166, 1.2461816845846752, 1.9719455395848902, -0.14360445008750722, -1.850177066179653, -0.5760650221123189, 21.6666603984304, -10.564724953144449, -8.451643608361886, 10.880662378361649, -8.886593645158198, -7.812272468227736, 1.3708950051674247], [-8.077922392752404, -2.3673900673297057, -0.3776427054260578, 2.502027487301509, 0.9497269991912671, 0.8949365281417869, -1.6266406973977339, -5.211038685558059, 6.733539654787607, 10.910585263392205, -6.410233939626202, -5.496526062462517, -5.475539517429822, 2.8838515773947893], [-13.069965015288169, 6.9431816735512495, 0.8298290162246037, 2.975064502264649, -2.323105800244248, -0.0111405307812798, 1.0357287193132911, -8.344743793496267, -12.654647576588813, -11.978148074721078, -6.232501899512224, 22.013470435759768, 10.764894059733656, -0.6292399473594947], [-5.663090526790152, -1.0016573761552783, -0.30930492326467857, -1.455242397938541, -0.9255036744125102, 0.1454785516078095, 1.306395571480108, -8.556143613522687, 5.918704995868949, 5.049395259844983, 2.6978167571280935, -8.070728489804136, -7.914240032262101, 11.220496940449799], [-6.7292637179839225, 0.9208818482630101, -0.10719724936347387, -0.20687883547900693, 0.6640416125342515, -0.17771649599876074, -0.5498114721934632, -7.9070537369214575, 6.4237653680394375, 3.6062158612105906, -6.9896363458429045, -8.548743499724921, 2.5762340642791046, 10.120739546055974]]",42,0.7536842105263157,0,11,0.7672955974842768,0,8,0.7735849056603774,0,0
0,3,sbr,100,0,-,-,-,636.8028922080994,"[[-4.936371125228476, 0.35013373893555205, 3.3720451085593144, -0.20773943327514907, -0.25933528940434575, -7.290835437758733, -1.0090598366489305, 18.96094513514233, -9.19424787127741, -7.344585562385934, 8.993008538268343, -8.146037694915293, -7.448803095516479, 5.270450933261586], [-5.259760185116126, -1.594228957101678, 0.014347265473319128, -0.8533342480547564, -0.34993960643278094, 0.9741043375625965, -3.889505573312255, -4.547479597681424, 5.700789688375177, 9.650889184725557, -5.937592830454355, -5.263685686540055, -5.863043871368436, 7.008899904228621], [-13.305517546596104, 7.019393126573077, 2.8307060237147117, 0.8099703272294885, 0.2060702007086318, 1.3971661525961996, 0.3884903712712788, -7.572574383798585, -11.23095372254764, -10.590413239609745, -6.107162137204014, 17.25558943656906, 8.282421656252572, 2.669597466145088], [-5.5748894839127505, -1.4673043626987132, 0.7191307500532383, -0.8452690465133751, -1.1498226696090044, 0.3049793247366621, 1.7890543698525008, -7.912708716378004, 5.603899757780902, 4.778037330902606, 2.838312076208289, -8.269480926193754, -8.298685087181443, 11.709453885448568], [-9.506220781847526, 3.256739845640346, -2.770279824282409, 1.0502386412164642, 3.0797949627466537, -0.216567136185128, -0.2958350034332036, -6.741043646828748, 6.510713147299404, 3.3221676755525453, -5.817488091443264, -6.569808472189757, 3.301415133212393, 2.5184065249207954]]",34,0.7852631578947369,0,13,0.7987421383647799,0,14,0.7232704402515723,0,10
0,3,sl,100,0,-,-,-,619.0699098110199,"[[-6.632231876655825, 0.3427558202567541, 2.9195840926575873, -0.10981882846174042, -0.22685366470437457, -6.5055794433966945, -0.8570121491480964, 22.41140874447515, -10.692600883068877, -8.130058890718436, 10.45848713854488, -8.608085447495725, -7.913042753376391, 1.837444269602255], [-6.586138894567372, -1.4838004124183253, 0.020043008281627195, -0.845129086738117, -0.3399868861377271, 0.9697462004377434, -3.864402635278386, -4.381134572344009, 6.927100298464736, 10.86242181559643, -6.134060178768129, -5.155549743116106, -6.107547057239811, 3.395971927867263], [-15.016183419693197, 7.2741274307512604, 2.595735573261723, 0.8606109112170854, 0.15283624591685285, 1.2258324896442072, 0.21952836244847562, -7.999519433357877, -12.74311315482738, -12.252584708403813, -6.020255492652344, 20.32938568418591, 10.079496413232572, -0.4095122221423042], [-6.026294737783046, -1.462249404813303, 0.7118987972021662, -0.8400222261104985, -1.1499190397110708, 0.30388964099928056, 1.7849235178264315, -8.951599473404857, 6.0555495094784515, 5.23007258788143, 3.291585793950261, -8.631045525708078, -8.503708204952536, 11.475203838276041], [-7.23457405807671, 0.8730254428648254, -1.0560875881417808, 0.5886781602725463, 0.9134030893208744, 0.135932877660584, -0.03053380493635244, -8.469928845753167, 6.48293458841807, 3.2945820112126656, -7.580062840908511, -8.432904497175445, 3.348423704150592, 10.116506089392088]]",34,0.7663157894736842,0,13,0.7861635220125787,0,14,0.7295597484276729,0,0
0,4,sbr,100,0,-,-,-,485.54206895828247,"[[-5.903480832761862, -1.8725110839866075, 1.9422227579236724, 2.6238827468801804, -0.36690856138849526, 1.5013960113504485, -0.9825682403290614, 19.025451020672907, -9.276225167613319, -7.913844837472992, 9.223985394896708, -8.163318343859814, -7.563347162883798, 4.7683518569254915], [-6.040876336246238, -2.1201070599176677, -0.37324110706556224, 3.283732888539144, -0.5911552364873471, 0.8462045520314783, -2.8649657348681563, -4.692358449505434, 6.110794001277253, 10.260659617426297, -6.414880197310282, -6.147990757940656, -6.022938298134094, 6.879288186538669], [-10.84343823860551, 6.8036225756466155, 2.769966118526612, -0.6966957875757113, -0.7666038030052263, -0.9569210559257276, 0.27369009899346075, -7.370352279151285, -11.532760274689817, -10.74895053989623, -6.01813790216774, 20.609599984016068, 7.545527676997397, 2.674642435071351], [-5.782036730574261, -0.7204638757986422, -0.2296065786644805, -0.4524950175276736, -0.3727512607815046, -0.40950230920891906, 1.2999242895159009, -7.342032406871555, 5.235206994810204, 4.431003553572411, 2.171607961784177, -7.921918187118638, -7.81734711937704, 11.47764828889808], [-8.250005592105227, 2.3636776064726956, -0.9488904887102835, -2.6221591967439326, 2.0311059914908487, 0.025214330146085765, 0.052877160558706116, -6.154356227158103, 6.622364952199035, 3.443859269670958, -4.891587078849341, -6.98953981195963, 2.9879042481264926, 2.7426347588708575]]",38,0.773109243697479,0,9,0.7421383647798742,0,14,0.7531645569620253,0,10
0,4,sl,100,0,-,-,-,545.4061892032623,"[[-6.680236431646124, -1.5864748336643517, 1.5912597458007602, 2.255242476784912, -0.32530061260730847, 1.3323690726179909, -0.9093293057530317, 21.06268075563271, -9.59753594601954, -7.78761423044764, 10.033751117178072, -7.856454375556837, -7.193347663364326, 0.667784372974818], [-6.814057644816762, -1.951792460486833, -0.11879427850249905, 2.9921474440152576, -0.50188680905538, 0.8564073686697933, -2.67914562965894, -3.9427984578489146, 6.5811255150562165, 10.684811358397564, -5.8050510143108305, -5.398775975782732, -5.424646343124454, 2.50230961602342], [-12.067158189379516, 7.235087074594567, 2.6358681184866226, -0.7686525659797454, -0.642967142745117, -1.0544271395247506, 0.008309899840973967, -6.722110013862775, -12.40147281560005, -11.472647286986579, -5.308617933462872, 22.332700743347154, 8.636377617095647, -1.1245465255470735], [-5.841631299889774, -0.720930314847859, -0.2005919337746473, -0.4622675617670008, -0.37225855463500385, -0.4075284987302544, 1.306720175940288, -7.7510986417096825, 5.282406454449751, 4.477180026081688, 2.2245302540931786, -7.4920589572368135, -7.420498771266325, 10.84138091433983], [-6.325714333898917, 0.6118583623660195, -0.4375119240225618, -0.536543097168995, 0.42140539947117295, 0.2051794006830275, -0.003141813597593849, -7.596717031928962, 6.336218707891403, 3.3088573330838895, -6.923771689878139, -8.200981810422565, 3.010019654779711, 9.751580079084523]]",38,0.7752100840336135,0,9,0.7295597484276729,0,14,0.7468354430379747,0,0
0,5,sbr,100,0,-,-,-,726.9764745235443,"[[-5.240054224686192, 1.0320158946220115, 0.5294182401607492, 3.0173118396861915, 0.8461584857871035, -3.9231747159103945, -1.974863334154269, 18.875413289807124, -9.532317354598481, -7.340575170738033, 8.661563903048352, -6.756464504045239, -6.873476722519883, 3.839763880847825], [-6.302211066621373, -2.707593287505812, -0.10235097216076297, 2.303109472884789, -0.08965004528153919, 2.409982480987434, -2.0361800749460084, -3.9493785918885496, 4.810104667408743, 9.0914012816436, -6.104174607425121, -4.7088559969039725, -5.633292599949906, 6.265660763630738], [-18.126464384840823, 20.350474250496998, -1.2509778757940822, -3.3361295817793963, -2.8864566000143532, 0.7191022418708519, -0.24717476902693988, -7.875220009790471, -11.835559469558728, -11.609050196890506, -6.232007323952813, 17.541135441636737, 8.071024033929703, -0.1016077061377782], [-5.459317086906012, -1.1558165564416103, 0.012140998194594863, -0.09088738813461676, -0.41759069719988734, -0.06682455556788028, 1.1564297472570904, -7.414373359099054, 5.383369194301961, 5.028402683492444, 2.4297738991232114, -7.802409775930018, -8.388029546190483, 11.463002156472234], [-7.44763665777408, 2.445867059096895, -1.807259106778763, -1.8533497722174481, 1.7752747094382622, -0.8595576854888748, -0.2096332671371449, -5.360805138239921, 6.326316531458773, 3.170954307571665, -5.005079603279627, -5.772321884190763, 2.7304918481483473, 2.532794183301274]]",39,0.7668067226890757,0,7,0.8553459119496856,0,15,0.7341772151898734,0,10
0,5,sl,100,0,-,-,-,452.64580845832825,"[[-5.545798366492587, 0.9209169208885852, 0.5377754658799968, 2.634006095080467, 0.7175054734385019, -3.649822115032278, -1.69828091430528, 20.771966936784487, -9.590622615545861, -6.8969486057970615, 8.876562669263112, -5.812020335692664, -6.181492420585058, -0.7123148031452933], [-6.502947723794185, -2.5026312672653725, -0.02775759952373974, 2.182695785704089, -0.08731641896971237, 2.3423007695638995, -2.00023635583865, -2.795885140688541, 4.872713701604642, 9.114863947200968, -5.035399814281038, -3.4718942729864013, -4.672891188198845, 1.4863158630389972], [-17.676239556669657, 19.395121926109802, -1.0930293935295994, -2.7441659592372636, -2.4170983281786667, 0.4863194054005461, -0.1481108851990635, -6.0440295873314716, -11.468295960949009, -11.142089120531773, -4.768067890711094, 18.828777791536442, 7.90134528951184, -4.983546072936503], [-5.145526540469566, -1.156959124816924, 0.009703640760252878, -0.0873548130244169, -0.41739809810849965, -0.06317835358350662, 1.1528869695173616, -7.456731538313832, 5.07120711255888, 4.7162995447139116, 2.1168898450749642, -6.953650152608337, -7.106111858310707, 10.46701107659232], [-5.918842468284875, 0.676690906986648, -0.3986294703843529, -0.29235364838206973, 0.4109478667373736, -0.2520007887208262, -0.010098536823254215, -6.713491980637033, 5.872201176933178, 2.7687141294369515, -6.467014642252658, -7.1296972650050385, 2.3591545281880575, 9.391523296916034]]",39,0.7542016806722689,0,7,0.8301886792452831,0,15,0.7215189873417721,0,0
